date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:05	46/46	---M--	200	added ('OK')	text/plain	etag:%22613fcee0-2e%22	https://pages.github.com/robots.txt		(from )
12:00:05	14445/14445	---M-Z	200	added ('OK')	text/html	etag:W/%22613fcee0-386d%22	https://pages.github.com/	D:/ProgramData/Websites/pages/pages.github.com/index.html	(from )
12:00:05	6518/6518	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22613fced9-1976%22	https://pages.github.com/favicon.ico	D:/ProgramData/Websites/pages/pages.github.com/favicon.ico	(from https://pages.github.com/)
12:00:05	12226/12226	---M-Z	200	added ('OK')	text/css	etag:W/%22613fcee0-2fc2%22	https://pages.github.com/css/pages.css	D:/ProgramData/Websites/pages/pages.github.com/css/pages.css	(from https://pages.github.com/)
12:00:06	5577/5577	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22613fced9-15c9%22	https://pages.github.com/images/logo.svg	D:/ProgramData/Websites/pages/pages.github.com/images/logo.svg	(from https://pages.github.com/)
12:00:07	156915/156915	---M--	200	added ('OK')	image/png	etag:%22613fced9-264f3%22	https://pages.github.com/images/slideshow/bootstrap.png	D:/ProgramData/Websites/pages/pages.github.com/images/slideshow/bootstrap.png	(from https://pages.github.com/)
12:00:08	93103/93103	---M--	200	added ('OK')	image/png	etag:%22613fced9-16baf%22	https://pages.github.com/images/repo-settings@2x.png	D:/ProgramData/Websites/pages/pages.github.com/images/repo-settings@2x.png	(from https://pages.github.com/)
12:00:08	435382/435382	---M--	200	added ('OK')	image/png	etag:%22613fced9-6a4b6%22	https://pages.github.com/images/dashboard@2x.png	D:/ProgramData/Websites/pages/pages.github.com/images/dashboard@2x.png	(from https://pages.github.com/)
12:00:08	147672/147672	---M--	200	added ('OK')	image/gif	etag:%22613fced9-240d8%22	https://pages.github.com/images/desktop-demo@2x.gif	D:/ProgramData/Websites/pages/pages.github.com/images/desktop-demo@2x.gif	(from https://pages.github.com/)
12:00:10	96778/96778	---M--	200	added ('OK')	image/png	etag:%22613fced9-17a0a%22	https://pages.github.com/images/launch-theme-chooser@2x.png	D:/ProgramData/Websites/pages/pages.github.com/images/launch-theme-chooser@2x.png	(from https://pages.github.com/)
